models;version;data_no;acc;;;;Average of acc;Column Labels;;
best_21;v00;val0;0,97298;97,176;;;Versions;best_21;best_22;best_23
best_21;v00;val1;0,96942;;;;v00;97,1758 %;66,9684 %;89,9366 %
best_21;v00;val2;0,97269;;;;v01;96,9306 %;;
best_21;v00;val3;0,97044;;;;v02;97,2719 %;;
best_21;v00;val4;0,97444;;;;v03;96,6620 %;;
best_21;v00;val5;0,96812;;;;v04;97,1140 %;;
best_21;v00;val6;0,97422;;;;v05;96,5891 %;;
best_21;v00;val7;0,97175;;;;v06;96,5793 %;;
best_21;v01;val0;0,96812;96,931;;;v07;96,5956 %;;
best_21;v01;val1;0,96979;;;;v08;96,7925 %;;
best_21;v01;val2;0,96942;;;;v09;96,7763 %;;
best_21;v01;val3;0,96521;;;;v10;96,4503 %;;
best_21;v01;val4;0,97001;;;;v11;62,8578 %;;
best_21;v01;val5;0,97073;;;;v12;93,5799 %;;
best_21;v01;val6;0,97291;;;;v13;88,8245 %;;
best_21;v01;val7;0,96826;;;;v14;95,6776 %;;
best_21;v02;val0;0,97138;97,272;;;Grand Total;93,7251 %;66,9684 %;89,9366 %
best_21;v02;val1;0,97131;;;;;;;
best_21;v02;val2;0,97727;;;;;;;
best_21;v02;val3;0,97044;;;;;;;
best_21;v02;val4;0,97146;;;;;;;
best_21;v02;val5;0,9732;;;;;;;
best_21;v02;val6;0,97429;;;;;;;
best_21;v02;val7;0,9724;;;;;;;
best_21;v03;val0;0,96449;96,662;;;;;;
best_21;v03;val1;0,96623;;;;;;;
best_21;v03;val2;0,96841;;;;;;;
best_21;v03;val3;0,96681;;;;;;;
best_21;v03;val4;0,96485;;;;;;;
best_21;v03;val5;0,96681;;;;;;;
best_21;v03;val6;0,96797;;;;;;;
best_21;v03;val7;0,96739;;;;;;;
best_21;v04;val0;0,97429;97,114;;;;;;
best_21;v04;val1;0,97073;;;;;;;
best_21;v04;val2;0,97153;;;;;;;
best_21;v04;val3;0,96826;;;;;;;
best_21;v04;val4;0,97051;;;;;;;
best_21;v04;val5;0,97313;;;;;;;
best_21;v04;val6;0,97168;;;;;;;
best_21;v04;val7;0,96899;;;;;;;
best_21;v05;val0;0,96361;96,589;;;;;;
best_21;v05;val1;0,96645;;;;;;;
best_21;v05;val2;0,96463;;;;;;;
best_21;v05;val3;0,96093;;;;;;;
best_21;v05;val4;0,9708;;;;;;;
best_21;v05;val5;0,96637;;;;;;;
best_21;v05;val6;0,96935;;;;;;;
best_21;v05;val7;0,96499;;;;;;;
best_21;v06;val0;0,96194;96,579;;;;;;
best_21;v06;val1;0,9687;;;;;;;
best_21;v06;val2;0,96594;;;;;;;
best_21;v06;val3;0,96318;;;;;;;
best_21;v06;val4;0,96921;;;;;;;
best_21;v06;val5;0,96557;;;;;;;
best_21;v06;val6;0,96579;;;;;;;
best_21;v06;val7;0,96601;;;;;;;
best_21;v07;val0;0,96608;96,596;;;;;;
best_21;v07;val1;0,96536;;;;;;;
best_21;v07;val2;0,96964;;;;;;;
best_21;v07;val3;0,9634;;;;;;;
best_21;v07;val4;0,96775;;;;;;;
best_21;v07;val5;0,96245;;;;;;;
best_21;v07;val6;0,96507;;;;;;;
best_21;v07;val7;0,9679;;;;;;;
best_21;v08;val0;0,96608;96,793;;;;;;
best_21;v08;val1;0,96964;;;;;;;
best_21;v08;val2;0,96855;;;;;;;
best_21;v08;val3;0,96754;;;;;;;
best_21;v08;val4;0,96957;;;;;;;
best_21;v08;val5;0,96666;;;;;;;
best_21;v08;val6;0,96601;;;;;;;
best_21;v08;val7;0,96935;;;;;;;
best_21;v09;val0;0,96666;96,776;;;;;;
best_21;v09;val1;0,9695;;;;;;;
best_21;v09;val2;0,96899;;;;;;;
best_21;v09;val3;0,96122;;;;;;;
best_21;v09;val4;0,96833;;;;;;;
best_21;v09;val5;0,96928;;;;;;;
best_21;v09;val6;0,9679;;;;;;;
best_21;v09;val7;0,97022;;;;;;;
best_21;v10;val0;0,96703;96,45;;;;;;
best_21;v10;val1;0,96463;;;;;;;
best_21;v10;val2;0,96645;;;;;;;
best_21;v10;val3;0,9639;;;;;;;
best_21;v10;val4;0,96528;;;;;;;
best_21;v10;val5;0,96107;;;;;;;
best_21;v10;val6;0,96543;;;;;;;
best_21;v10;val7;0,96223;;;;;;;
best_21;v11;val0;0,3818;62,858;;;;;;
best_21;v11;val1;0,87777;;;;;;;
best_21;v11;val2;0,85569;;;;;;;
best_21;v11;val3;0,38383;;;;;;;
best_21;v11;val4;0,89222;;;;;;;
best_21;v11;val5;0,38587;;;;;;;
best_21;v11;val6;0,86804;;;;;;;
best_21;v11;val7;0,3834;;;;;;;
best_21;v12;val0;0,96427;93,58;;;;;;
best_21;v12;val1;0,97044;;;;;;;
best_21;v12;val2;0,96652;;;;;;;
best_21;v12;val3;0,71436;;;;;;;
best_21;v12;val4;0,96979;;;;;;;
best_21;v12;val5;0,96398;;;;;;;
best_21;v12;val6;0,9687;;;;;;;
best_21;v12;val7;0,96833;;;;;;;
best_21;v13;val0;0,58552;88,825;;;;;;
best_21;v13;val1;0,96754;;;;;;;
best_21;v13;val2;0,96826;;;;;;;
best_21;v13;val3;0,96637;;;;;;;
best_21;v13;val4;0,96855;;;;;;;
best_21;v13;val5;0,72489;;;;;;;
best_21;v13;val6;0,96666;;;;;;;
best_21;v13;val7;0,95817;;;;;;;
best_21;v14;val0;0,95308;95,678;;;;;;
best_21;v14;val1;0,95512;;;;;;;
best_21;v14;val2;0,95918;;;;;;;
best_21;v14;val3;0,95359;;;;;;;
best_21;v14;val4;0,96332;;;;;;;
best_21;v14;val5;0,96056;;;;;;;
best_21;v14;val6;0,95381;;;;;;;
best_21;v14;val7;0,95555;;;;;;;
best_22;v00;val0;0,3818;66,968;;;;;;
best_22;v00;val1;0,91953;;;;;;;
best_22;v00;val2;0,96899;;;;;;;
best_22;v00;val3;0,38383;;;;;;;
best_22;v00;val4;0,96783;;;;;;;
best_22;v00;val5;0,38579;;;;;;;
best_22;v00;val6;0,38144;;;;;;;
best_22;v00;val7;0,96826;;;;;;;
best_23;v00;val0;0,97182;89,937;;;;;;
best_23;v00;val1;0,97168;;;;;;;
best_23;v00;val2;0,97574;;;;;;;
best_23;v00;val3;0,97146;;;;;;;
best_23;v00;val4;0,97327;;;;;;;
best_23;v00;val5;0,97291;;;;;;;
best_23;v00;val6;0,38144;;;;;;;
best_23;v00;val7;0,97661;;;;;;;
