Items,mse_3_5_30_128_9_10
project,MasterProject
log_dir,../logs//tuner//mse_3_5_30_128_9_10//mse//MasterProject
dataset_no,mse_3_5_30_128_9_10
dataset_name,../Version9.128timesteps/seqnetdata.ni=3.no=5.mc=30.numTimeSteps128.version9.10.csv
objectives,"val_customMetricfn, max"
af_LSTM,tanh
raf_LSTM,sigmoid
af_dense,tanh
optimizer,adam
learning_rate,0.01
tuner/epochs,8
tuned_score,0.69812
loss,0.54952
val_loss,0.54952
val_customMetricfn,0.69996
pred_accuracy,0.69994
training_time (ms),68.76553
rerun_acc_0,0.70574
rerun_acc_1,0.75051
rerun_acc_2,0.76759
default_acc_0,0.63836
default_acc_1,0.69296
default_acc_2,0.67804
delta,0.071493
isbetter,same
