models;versions;data_no;acc;;Average of acc;Column Labels;;
best21;v0;val0;0,97255;;Versions;best21;best22;best23
best21;v0;val1;0,97131;;v0;97,1749 %;53,0085 %;89,8341 %
best21;v0;val2;0,97088;;v1;96,9633 %;;
best21;v0;val3;0,97051;;v10;96,5864 %;;
best21;v0;val4;0,97088;;v11;87,8639 %;;
best21;v0;val5;0,97153;;v12;94,8680 %;;
best21;v0;val6;0,97211;;v13;90,6710 %;;
best21;v0;val7;0,97422;;v2;97,0913 %;;
best21;v10;val0;0,9594;;v3;96,7953 %;;
best21;v10;val1;0,96463;;v4;97,0276 %;;
best21;v10;val2;0,96848;;v5;96,5621 %;;
best21;v10;val3;0,96383;;v6;96,6591 %;;
best21;v10;val4;0,96557;;v7;96,5713 %;;
best21;v10;val5;0,97008;;v8;96,7898 %;;
best21;v10;val6;0,96695;;v9;96,8398 %;;
best21;v10;val7;0,96797;;Grand Total;95,6045 %;53,0085 %;89,8341 %
best21;v11;val0;0,84632;;;;;
best21;v11;val1;0,88263;;;;;
best21;v11;val2;0,83986;;;;;
best21;v11;val3;0,90856;;;;;
best21;v11;val4;0,85111;;;;;
best21;v11;val5;0,89396;;;;;
best21;v11;val6;0,88104;;;;;
best21;v11;val7;0,92563;;;;;
best21;v12;val0;0,96187;;;;;
best21;v12;val1;0,97044;;;;;
best21;v12;val2;0,96434;;;;;
best21;v12;val3;0,96536;;;;;
best21;v12;val4;0,9663;;;;;
best21;v12;val5;0,82555;;;;;
best21;v12;val6;0,96863;;;;;
best21;v12;val7;0,96695;;;;;
best21;v13;val0;0,96216;;;;;
best21;v13;val1;0,93449;;;;;
best21;v13;val2;0,96565;;;;;
best21;v13;val3;0,96659;;;;;
best21;v13;val4;0,96826;;;;;
best21;v13;val5;0,96623;;;;;
best21;v13;val6;0,76723;;;;;
best21;v13;val7;0,72307;;;;;
best21;v1;val0;0,96826;;;;;
best21;v1;val1;0,97204;;;;;
best21;v1;val2;0,97015;;;;;
best21;v1;val3;0,96964;;;;;
best21;v1;val4;0,97124;;;;;
best21;v1;val5;0,97022;;;;;
best21;v1;val6;0,96725;;;;;
best21;v1;val7;0,96826;;;;;
best21;v2;val0;0,9716;;;;;
best21;v2;val1;0,97356;;;;;
best21;v2;val2;0,97131;;;;;
best21;v2;val3;0,9655;;;;;
best21;v2;val4;0,97066;;;;;
best21;v2;val5;0,9724;;;;;
best21;v2;val6;0,97306;;;;;
best21;v2;val7;0,96921;;;;;
best21;v3;val0;0,96296;;;;;
best21;v3;val1;0,96964;;;;;
best21;v3;val2;0,96935;;;;;
best21;v3;val3;0,96601;;;;;
best21;v3;val4;0,9724;;;;;
best21;v3;val5;0,9695;;;;;
best21;v3;val6;0,97189;;;;;
best21;v3;val7;0,96187;;;;;
best21;v4;val0;0,97269;;;;;
best21;v4;val1;0,97313;;;;;
best21;v4;val2;0,96666;;;;;
best21;v4;val3;0,96957;;;;;
best21;v4;val4;0,97153;;;;;
best21;v4;val5;0,9708;;;;;
best21;v4;val6;0,97073;;;;;
best21;v4;val7;0,9671;;;;;
best21;v5;val0;0,96507;;;;;
best21;v5;val1;0,96746;;;;;
best21;v5;val2;0,96841;;;;;
best21;v5;val3;0,96645;;;;;
best21;v5;val4;0,95976;;;;;
best21;v5;val5;0,96587;;;;;
best21;v5;val6;0,9663;;;;;
best21;v5;val7;0,96565;;;;;
best21;v6;val0;0,96332;;;;;
best21;v6;val1;0,961;;;;;
best21;v6;val2;0,96572;;;;;
best21;v6;val3;0,96855;;;;;
best21;v6;val4;0,97059;;;;;
best21;v6;val5;0,96579;;;;;
best21;v6;val6;0,96884;;;;;
best21;v6;val7;0,96892;;;;;
best21;v7;val0;0,96492;;;;;
best21;v7;val1;0,96841;;;;;
best21;v7;val2;0,96783;;;;;
best21;v7;val3;0,96434;;;;;
best21;v7;val4;0,96783;;;;;
best21;v7;val5;0,96311;;;;;
best21;v7;val6;0,96231;;;;;
best21;v7;val7;0,96695;;;;;
best21;v8;val0;0,96775;;;;;
best21;v8;val1;0,96797;;;;;
best21;v8;val2;0,96877;;;;;
best21;v8;val3;0,96274;;;;;
best21;v8;val4;0,9687;;;;;
best21;v8;val5;0,96841;;;;;
best21;v8;val6;0,97218;;;;;
best21;v8;val7;0,96666;;;;;
best21;v9;val0;0,96754;;;;;
best21;v9;val1;0,97131;;;;;
best21;v9;val2;0,97022;;;;;
best21;v9;val3;0,96376;;;;;
best21;v9;val4;0,96993;;;;;
best21;v9;val5;0,96848;;;;;
best21;v9;val6;0,96906;;;;;
best21;v9;val7;0,96688;;;;;
best22;v0;val0;0,96361;;;;;
best22;v0;val1;0,38616;;;;;
best22;v0;val2;0,38892;;;;;
best22;v0;val3;0,38383;;;;;
best22;v0;val4;0,38332;;;;;
best22;v0;val5;0,38579;;;;;
best22;v0;val6;0,38144;;;;;
best22;v0;val7;0,96761;;;;;
best23;v0;val0;0,97153;;;;;
best23;v0;val1;0,97138;;;;;
best23;v0;val2;0,974;;;;;
best23;v0;val3;0,9703;;;;;
best23;v0;val4;0,97226;;;;;
best23;v0;val5;0,97356;;;;;
best23;v0;val6;0,9703;;;;;
best23;v0;val7;0,3834;;;;;
