Items,mse_3_5_30_128_9_57
project,MasterProject
log_dir,../logs//tuner//mse_3_5_30_128_9_57//mse//MasterProject
dataset_no,mse_3_5_30_128_9_57
objectives,"val_loss, min"
af_LSTM,relu
raf_LSTM,sigmoid
af_dense,softsign
optimizer,adam
learning_rate,0.01
thresholds_BA,
tuner/epochs,8
tuned_score,0.56953
loss,0.64923
validation_accuracy_0,0.64923
validation_accuracy_1,0.64923
prediction_accuracy,0.62745
training_time (ms),69.81799
val_acc_0,0.61053
val_acc_1,0.58586
val_acc_2,0.71604
pred_acc_0,0.64285
pred_acc_1,0.66069
pred_acc_2,0.60512
compare_0,0.64724
compare_1,0.6504
compare_2,0.65244
